	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
AMOL1	NA	NA	NA	NA	NA	1.19	NA	0.671	NA
RAVR1	NA	NA	NA	NA	NA	NA	1.246	NA	NA
SPB1	1.15	NA	1.085	1.02	NA	1.239	0.88	NA	1.186
SLX4	NA	NA	NA	NA	NA	NA	0.902	NA	NA
TM192	NA	0.961	NA	NA	1.146	0.656	NA	0.892	1.172
M21D2	NA	NA	NA	NA	NA	1.107	NA	0.837	NA
SRRM1	NA	NA	NA	1.081	1.111	NA	0.936	NA	NA
SMAP1	1.181	0.957	0.997	0.912	1.105	1.157	0.888	0.853	1.159
DI3L2	NA	NA	NA	0.812	NA	NA	0.798	NA	NA
EXOC8	0.984	0.843	0.841	0.856	NA	1.04	0.782	0.839	NA
CPNE9	NA	1.049	NA	1.034	NA	1.088	NA	NA	NA
CC105	1.156	1.521	0.998	1.198	1.419	0.828	0.926	1.445	1.114
CA174	NA	NA	NA	NA	NA	NA	NA	NA	NA
F186B	1.243	0.92	NA	0.947	1.054	NA	0.856	0.864	NA
TRI22	NA	0.955	NA	NA	NA	NA	NA	NA	NA
ULK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HACE1	NA	NA	1.08	NA	NA	NA	NA	NA	1.736
AN13A	NA	1.249	0.517	NA	1.623	NA	NA	0.945	0.993
PHAR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHSS2	NA	NA	NA	NA	NA	5.197	NA	NA	8.597
RUSD2	NA	NA	NA	NA	NA	NA	NA	0.712	NA
ELMD2	NA	NA	0.968	NA	NA	1.116	NA	NA	NA
A16A1	NA	NA	1.041	NA	NA	1.206	NA	NA	1.246
SAM14	NA	NA	NA	NA	NA	1.135	NA	NA	1.056
DCP1B	1.131	0.959	0.701	1.041	1.193	0.789	0.978	0.954	0.413
PACE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
XRN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNC5B	NA	NA	1.175	0.948	NA	1.205	0.862	NA	1.53
MAML2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABI1	1.144	0.945	NA	NA	1.172	NA	NA	0.881	NA
WDFY3	1.236	1.088	NA	1.009	NA	NA	1.014	0.881	NA
ASPM	NA	0.797	NA	NA	NA	NA	NA	NA	NA
WDR17	1.083	NA	NA	0.871	NA	NA	0.941	NA	NA
VKORL	NA	NA	1.089	NA	NA	1.234	NA	NA	1.225
SPART	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN444	1.226	1.062	NA	0.941	NA	NA	0.958	NA	NA
SPICE	1.116	0.942	0.968	0.918	1.033	1.11	0.843	0.817	1.118
TTC5	NA	NA	0.891	NA	NA	1.155	0.91	NA	1.311
MIER1	NA	0.905	NA	NA	NA	NA	NA	NA	NA
RPTOR	NA	NA	NA	NA	NA	NA	NA	NA	1.432
F177A	1.18	NA	1.028	1.121	NA	1.275	0.902	NA	1.197
CNPY4	NA	NA	NA	0.947	NA	1.929	0.945	NA	NA
CNTRB	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORML3	NA	NA	0.712	NA	NA	0.88	NA	NA	0.897
AHI1	NA	1.02	NA	NA	1.107	NA	NA	0.806	1.319
CCAR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUF2	NA	NA	0.996	NA	NA	NA	NA	NA	NA
VPS52	NA	0.931	0.976	NA	1.077	1.142	NA	0.814	1.099
NUP93	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN687	NA	0.909	NA	NA	1.08	NA	NA	0.848	NA
CMTR1	1.253	1.145	0.716	0.895	NA	0.825	0.686	NA	0.812
LRC47	NA	NA	0.947	NA	NA	1.103	NA	NA	NA
DOCK4	1.13	0.85	1.031	1.035	NA	1.137	0.857	0.904	1.187
S39AB	NA	NA	NA	NA	NA	NA	0.859	NA	NA
ARG28	NA	1.061	NA	NA	1.016	NA	NA	NA	NA
INT1	NA	NA	NA	NA	NA	NA	NA	NA	1.231
RHG24	NA	0.677	NA	1.085	1.077	NA	NA	0.849	NA
ARM10	NA	NA	NA	NA	NA	NA	NA	NA	NA
GHDC	NA	NA	NA	NA	1.104	NA	NA	NA	NA
ABD12	1.144	0.982	1.012	0.949	NA	1.201	0.85	NA	1.043
CLASR	1.156	0.945	NA	0.965	1.112	0.997	0.848	0.898	1.161
RUSC2	NA	NA	NA	NA	1.374	NA	NA	0.882	NA
ELMD1	1.352	NA	1.01	0.996	NA	1.059	1.151	NA	1.009
S35F6	NA	NA	NA	2.056	NA	NA	NA	NA	NA
RHG18	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCC3	NA	NA	NA	NA	NA	NA	0.966	NA	NA
CLIP4	NA	1.166	NA	NA	NA	NA	NA	NA	NA
EH1L1	1.108	0.857	NA	0.95	1.014	1.106	0.853	0.86	NA
PLCD3	NA	0.86	NA	NA	1.168	NA	NA	0.802	NA
MILK1	1.158	0.956	0.933	1.011	1.108	1.27	0.842	0.864	0.988
MPP5	1.465	NA	1.142	1.083	NA	1.345	NA	NA	1.463
GLT15	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAG2	1.217	NA	1.168	NA	NA	1.317	NA	NA	NA
SYNPO	NA	NA	NA	NA	NA	NA	NA	NA	NA
FNBP4	NA	NA	NA	NA	NA	NA	NA	0.865	NA
SFRP1	NA	NA	NA	NA	NA	1.742	NA	NA	NA
RYBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNKD	1.107	1.244	NA	0.908	NA	1.514	0.978	NA	1.177
NIN	NA	NA	NA	NA	NA	NA	0.731	NA	NA
MINK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOM5	NA	NA	1.03	NA	NA	1.345	NA	NA	3.124
PP4P2	NA	NA	NA	NA	NA	NA	0.823	NA	NA
LRC71	NA	0.942	NA	NA	1.068	1.26	0.853	0.865	NA
MIA40	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM199	NA	1.109	NA	NA	NA	NA	NA	NA	NA
OGFD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFAP1	1.292	0.959	0.783	NA	1.077	1.06	0.769	0.892	1.018
DCLK2	NA	NA	1.03	NA	NA	1.325	0.885	NA	1.349
OXR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TT39C	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZGPAT	NA	NA	NA	NA	NA	13.006	NA	NA	10.636
CERS5	NA	0.952	NA	NA	1	NA	NA	0.856	NA
NKAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
MACOI	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL045	NA	NA	NA	NA	NA	NA	NA	NA	NA
MINY1	NA	0.956	1.041	NA	NA	1.168	0.825	NA	NA
CISD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATPF2	NA	NA	0.906	0.768	NA	0.999	NA	NA	NA
JAGN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFLB	NA	NA	NA	NA	NA	NA	NA	NA	NA
F16A2	NA	NA	NA	0.98	NA	NA	NA	NA	NA
TM86B	NA	NA	NA	0.835	NA	NA	NA	NA	NA
CPSF7	2.757	NA	0.996	0.835	1.057	1.197	1.256	NA	1.705
S15A4	0.987	NA	1.013	0.896	NA	1.261	0.838	NA	1.169
ARFG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTU6B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA052	NA	NA	NA	NA	NA	6.515	NA	NA	NA
EFNMT	1.227	0.965	NA	1.021	1.288	1.167	0.921	0.904	1.284
AR6P6	NA	NA	NA	NA	NA	0.911	NA	NA	NA
ARFG1	NA	0.965	NA	NA	1.264	NA	NA	0.988	NA
SIR6	NA	1.164	0.412	NA	NA	0.431	0.64	NA	NA
GP161	NA	0.928	NA	NA	1.073	1.09	NA	0.921	1.216
KC1AL	NA	NA	NA	NA	NA	NA	NA	NA	NA
EMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAF1	NA	NA	1.068	NA	NA	1.235	NA	NA	1.104
AMER2	NA	NA	NA	1.04	NA	NA	0.849	NA	NA
CCYL1	1.272	1.086	1.108	1.015	1.134	1.204	0.895	0.964	1.145
DDX51	1.109	1.082	0.865	0.915	NA	1.013	0.877	0.71	0.934
ENAH	NA	NA	0.615	NA	NA	1.027	NA	NA	1.019
RM43	NA	NA	NA	NA	NA	NA	NA	NA	NA
JMY	2.388	NA	1.343	1.944	NA	1.775	0.922	NA	NA
CS047	1.105	NA	1.176	0.982	NA	1.224	0.935	0.821	1.237
ASCC1	NA	1.084	NA	NA	1.153	1.247	NA	0.913	0.893
BANP	NA	NA	1.097	NA	NA	1.245	NA	NA	NA
LRC57	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF1A	1.004	NA	1.052	0.999	NA	NA	NA	NA	NA
KRI1	1.16	1.012	1.07	0.988	1.22	1.094	0.869	0.922	1.225
ANR53	NA	1.059	NA	NA	NA	NA	NA	0.99	NA
TOPZ1	NA	0.778	NA	NA	NA	NA	NA	NA	NA
FSIP1	1.128	0.905	0.904	0.926	1.122	1.188	0.846	0.833	1.256
CBY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN579	1.356	1.065	1.068	1.038	1.098	1.177	0.933	1.004	1.204
ZBT38	NA	NA	NA	NA	NA	NA	NA	NA	NA
PR38A	NA	0.788	NA	NA	NA	NA	NA	NA	NA
GALD1	1.016	1.095	0.703	NA	1.309	0.844	NA	1.225	NA
AT11C	1.23	NA	NA	NA	NA	NA	NA	NA	NA
KDM1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFG2H	1.56	1.118	1.353	1.332	1.581	NA	0.963	1.069	1.63
FANCB	NA	NA	NA	NA	NA	NA	NA	NA	NA
NHLC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
AVL9	NA	0.98	NA	NA	NA	NA	0.892	0.924	NA
S43A3	1.195	1.091	NA	1.369	NA	NA	0.848	NA	NA
GOLM1	NA	NA	NA	NA	NA	NA	NA	0.923	NA
GT251	NA	NA	NA	NA	NA	NA	0.821	NA	NA
SUMF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUMF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCYXL	NA	NA	NA	NA	NA	0.846	NA	NA	NA
TM87A	1.336	1.194	NA	0.965	NA	1.237	0.368	1.133	1.238
MINY2	NA	0.93	1.096	NA	1.212	NA	NA	0.893	1.233
TXND5	1.072	NA	NA	0.923	1.096	NA	0.828	0.782	NA
SPC24	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATAD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
S38A9	NA	0.898	1.047	NA	1.093	1.278	NA	0.777	1.262
SCPDL	1.151	0.976	1.115	0.917	1.084	1.298	0.821	0.877	1.157
UXS1	1.072	NA	1.088	0.817	NA	1.233	0.842	NA	NA
RN149	1.395	NA	0.96	0.537	NA	NA	0.936	NA	NA
RETR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAIRB	1.135	0.923	0.963	0.956	1.071	1.146	0.874	0.848	1.086
KCT2	NA	0.918	1.011	NA	1.052	1.076	0.845	0.838	NA
LEMD2	NA	NA	0.424	0.775	NA	0.79	NA	NA	0.666
NECP1	NA	0.881	NA	NA	0.81	1.202	NA	0.75	NA
FA98A	1.188	NA	NA	NA	NA	NA	0.987	NA	0.96
PAG15	NA	NA	NA	NA	NA	NA	0.741	NA	NA
HJURP	NA	NA	NA	NA	NA	1.198	0.802	NA	NA
MTMRE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NF2IP	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALT6	0.944	NA	NA	NA	NA	NA	NA	NA	NA
DYHC2	NA	1.005	1.121	NA	NA	1.033	NA	NA	NA
RN169	1.102	0.978	1.127	1.12	NA	1.268	0.972	NA	0.905
PDPR	NA	0.939	NA	NA	NA	NA	0.852	NA	NA
GLT11	NA	NA	NA	1.178	0.999	NA	NA	1.006	NA
SMG8	1.329	0.96	NA	0.87	1.057	NA	0.834	0.853	NA
RN214	NA	NA	0.95	NA	NA	1.068	NA	NA	1.045
LS14A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNY	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAPD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHBP1	NA	NA	0.895	NA	NA	NA	NA	NA	NA
RB15B	NA	NA	0.809	0.824	NA	1.03	NA	NA	0.801
PHC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DIK2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM104	0.88	NA	NA	NA	NA	1.153	NA	NA	NA
ABCF1	NA	NA	0.838	0.931	NA	1.176	0.87	NA	NA
MCU	NA	0.947	NA	NA	1.049	1.141	0.913	0.845	NA
PK3C3	NA	NA	1.039	NA	NA	1.022	NA	NA	NA
SRFB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MNS1	NA	1.118	NA	NA	NA	NA	NA	NA	NA
NGDN	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCPH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHCBP	1.17	NA	0.759	1.083	0.995	NA	0.974	0.778	NA
ARMC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDZD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
DP13B	NA	1.052	NA	NA	NA	NA	NA	NA	NA
ZNT7	NA	NA	1.19	NA	NA	1.487	NA	NA	1.32
NAV1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPHLN	NA	NA	2.68	NA	NA	2.194	NA	NA	8.325
VP37A	NA	0.854	NA	NA	1.256	NA	NA	0.795	NA
KMT2C	NA	NA	NA	NA	NA	1.151	NA	NA	NA
PCAT1	1.157	NA	NA	1.122	1.16	NA	0.896	0.787	NA
ZMIZ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYNE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP32	1.275	NA	1.194	1.096	NA	1.405	NA	NA	1.293
NOXO1	1.359	NA	1.211	NA	NA	1.464	NA	NA	1.194
T185A	NA	NA	NA	NA	NA	NA	NA	NA	NA
BD1L1	NA	NA	NA	NA	NA	NA	0.883	NA	NA
FLCN	NA	0.915	NA	NA	NA	1.095	NA	NA	NA
NUP43	NA	0.897	NA	NA	1.018	NA	NA	0.922	NA
NUP37	1.145	0.897	1.018	0.913	1.046	1.23	0.869	0.85	1.198
NUP35	NA	1.147	NA	NA	NA	NA	NA	NA	12.239
BPIFC	NA	NA	NA	0.844	NA	1.317	NA	NA	NA
TOIP2	1.111	0.967	0.985	0.932	1.16	1.212	0.889	0.879	1.084
NEUA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PJA1	NA	NA	NA	1.108	NA	NA	0.922	NA	NA
OR1M1	NA	0.951	NA	NA	1.104	NA	NA	NA	NA
OR5M9	1.012	0.828	0.966	0.892	1.024	1.176	0.848	0.799	1.221
OR8U1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNRF2	NA	0.996	NA	0.997	NA	1.321	0.881	NA	1.073
ATLA2	NA	NA	NA	NA	NA	NA	NA	NA	1.327
KDM2B	1.344	NA	NA	0.965	NA	NA	0.918	NA	NA
MSPD2	NA	0.962	NA	NA	1.24	NA	NA	0.773	NA
PLBL2	NA	1.007	NA	NA	NA	NA	NA	NA	NA
RASF8	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX55	NA	1.037	NA	NA	NA	NA	0.887	NA	NA
CT453	1.126	1.031	1.079	0.771	NA	0.692	0.845	NA	0.8
NEDD1	NA	NA	NA	NA	NA	0.784	NA	NA	1.141
CDC26	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCOA7	NA	NA	0.854	NA	NA	NA	NA	NA	NA
MCFD2	NA	NA	NA	NA	NA	1.098	0.832	NA	8.446
THOC2	1.164	1.54	0.963	0.99	5.209	1.11	0.914	0.856	0.875
WDR36	0.938	2.506	0.292	0.892	3.382	0.455	0.742	NA	0.446
RP9	NA	0.958	NA	NA	1.141	1.289	NA	0.854	NA
PSMA8	NA	NA	0.934	NA	NA	NA	NA	NA	NA
VANG1	NA	NA	NA	NA	NA	1.239	NA	NA	NA
ZNT5	NA	NA	NA	NA	1.096	NA	NA	NA	NA
OCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNIP1	NA	NA	1.186	NA	NA	NA	NA	NA	NA
WDR48	NA	1.028	NA	NA	1.05	NA	NA	NA	NA
PPR35	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPLKI	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMRC2	NA	NA	0.886	NA	1.054	1.172	NA	0.818	1.088
NPL4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CX038	1.291	1.041	NA	0.912	1.144	NA	0.835	NA	NA
S35B2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PUM2	NA	NA	NA	0.343	NA	NA	NA	NA	NA
KLDC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAHD1	1.198	1.002	1.34	0.943	1.216	1.223	0.846	NA	1.302
CNIH3	NA	NA	NA	NA	NA	NA	NA	NA	NA
S35G2	NA	NA	0.944	NA	NA	1.208	NA	NA	1.144
ZCRB1	1.355	1.05	NA	0.98	1.074	1.169	0.909	0.913	1.108
R3GEF	1.4	NA	1.033	NA	NA	1.257	1.192	NA	1.275
TBC16	1.196	1.06	1.142	1.01	1.121	1.308	1.017	0.909	1.354
KISHA	1.247	0.987	1.021	0.88	NA	1.171	0.868	NA	1.133
PI42C	1.194	NA	NA	0.554	NA	NA	0.866	NA	NA
WDR20	NA	NA	0.998	NA	1.266	1.055	NA	NA	1.106
MDM1	1.185	0.973	1.292	0.914	1.359	1.366	0.835	NA	NA
TBC15	NA	NA	NA	NA	NA	NA	NA	NA	NA
RDH11	0.928	NA	0.909	0.477	NA	0.909	0.592	NA	1.053
RM30	1.091	0.888	0.936	0.917	NA	1.133	0.855	NA	1.178
CR032	1.293	NA	NA	0.922	NA	NA	6.175	NA	0.987
NT5C	NA	NA	0.917	NA	NA	2.225	NA	NA	NA
DEN10	NA	NA	NA	1.104	NA	1.124	NA	NA	NA
CIP2A	1.271	0.566	1.008	1.013	0.876	1.152	1.189	0.914	1.123
P4K2B	NA	0.89	NA	0.964	NA	1.105	NA	NA	NA
STT3B	1.126	0.942	1.031	0.917	1.084	1.15	0.862	0.919	1.056
PNPT1	NA	NA	NA	NA	NA	1.277	NA	NA	NA
SPP2A	NA	NA	NA	NA	NA	NA	0.957	NA	NA
HM13	NA	NA	0.784	0.977	1.255	1.143	0.921	0.336	NA
C99L2	NA	NA	NA	NA	NA	NA	0.81	NA	NA
BICD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEK9	NA	NA	0.616	0.552	NA	1.427	0.562	NA	NA
RS4Y2	1.142	NA	0.996	0.964	1.087	NA	0.886	NA	1.008
PKHO2	NA	NA	NA	NA	NA	0.729	NA	NA	NA
DDX54	NA	1.011	NA	NA	1.198	NA	NA	0.844	NA
DMXL2	1.184	NA	NA	NA	NA	1.019	3.012	NA	3.693
DLG5	1.154	NA	1.025	1.003	NA	1.339	0.922	NA	1.622
CABL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRX1	NA	NA	NA	NA	NA	NA	NA	NA	0.57
GNPI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPT3	NA	NA	NA	0.97	NA	NA	NA	NA	NA
LRC8C	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEK7	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBCC1	NA	NA	NA	NA	NA	NA	NA	NA	1.018
IGDC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MICA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANK1	1.138	NA	NA	0.934	1.19	NA	0.939	0.943	NA
SSH3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSUN6	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTD1	2.059	NA	1.43	1.023	NA	1.185	1.584	NA	1.275
UTP15	1.224	NA	NA	NA	NA	1.126	NA	NA	NA
GPX8	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF1L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3R3	NA	0.864	0.609	NA	NA	NA	0.84	NA	NA
DOT1L	1.227	0.928	1.117	1.098	NA	1.081	0.96	NA	NA
CE192	NA	NA	NA	NA	1.319	NA	NA	0.952	NA
SNX29	NA	NA	NA	NA	NA	1.019	NA	NA	NA
GEMI5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARH40	NA	NA	NA	0.931	0.97	NA	0.956	0.856	NA
RPGF6	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMCR8	0.735	NA	NA	0.85	NA	NA	0.83	NA	1.041
PARD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAR3L	1.162	0.962	1.027	0.984	1.165	1.191	0.903	0.887	1.161
IPO4	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNISR	0.934	1.024	1.103	1.024	NA	1.187	0.837	NA	1.126
PP4R1	NA	0.983	NA	0.922	0.898	NA	NA	0.809	NA
DLRB2	NA	NA	NA	1.069	NA	0.965	NA	0.92	NA
FNIP1	1.254	NA	NA	1.046	NA	1.45	0.942	1.1	NA
UBS3B	1.169	0.933	NA	0.88	1.086	NA	0.875	0.882	NA
LRC15	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHRM3	NA	1.011	1.068	NA	NA	1.087	NA	NA	1.143
WIPF2	1.395	NA	0.972	NA	0.856	1.121	NA	NA	1.065
NOC3L	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCRB1	1.174	NA	NA	0.901	NA	1.183	0.798	NA	1.251
THAP3	NA	0.948	NA	NA	1.084	NA	NA	0.732	NA
COG1	NA	0.838	NA	NA	1.099	NA	NA	0.577	NA
CAST1	NA	NA	5.088	NA	NA	NA	NA	NA	NA
RN139	NA	0.803	NA	0.643	NA	NA	0.912	NA	NA
FRS2	1.15	1.037	0.968	1.007	1.244	1.198	0.907	0.963	1.118
SMAP2	NA	0.982	0.978	0.979	NA	1.182	0.762	NA	1.173
ZC3HF	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPIL4	NA	NA	NA	NA	NA	NA	NA	0.837	NA
TF3C2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TB22A	1.358	NA	NA	1.416	NA	NA	1.184	NA	NA
PHF10	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB2B	NA	0.976	NA	NA	NA	1.308	NA	NA	NA
IASPP	NA	NA	1.215	NA	NA	1.339	NA	NA	1.238
CHUR	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM263	NA	NA	NA	NA	NA	NA	NA	NA	1.121
HDAC7	NA	NA	1.089	NA	1.098	NA	NA	0.816	NA
CEMIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
NU133	NA	NA	NA	NA	NA	NA	NA	0.747	1.117
PDC6I	0.712	NA	NA	NA	NA	NA	NA	NA	1.498
S20A1	NA	0.993	NA	NA	1.118	NA	NA	NA	NA
BRK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHAC2	1.226	NA	1.055	NA	NA	1.325	1.218	NA	1.094
CHMP7	1.024	0.926	0.88	0.883	1.046	1.089	0.824	0.767	1.053
BCL7C	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSE1	NA	NA	NA	NA	NA	1.003	NA	NA	NA
SNX33	NA	NA	NA	0.922	NA	NA	1.034	NA	NA
CC107	NA	0.96	NA	NA	1.205	NA	NA	0.878	NA
ZFN2B	1.188	0.932	NA	1.028	1.156	NA	0.878	0.94	1.091
CTF18	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO1	1.301	NA	1.049	1.086	NA	1.135	NA	1.156	1.14
DCAKD	NA	NA	NA	NA	NA	NA	NA	NA	NA
TWST2	NA	NA	NA	NA	NA	1.133	NA	NA	NA
STAG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCFD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPC12	NA	NA	1.035	NA	NA	1.207	NA	NA	1.121
BT2A2	NA	NA	1.058	NA	NA	1.338	NA	NA	NA
HNRLL	NA	NA	NA	NA	NA	1.216	NA	NA	NA
FACR1	NA	0.937	0.974	1.025	1.117	1.167	NA	0.856	NA
UBCP1	NA	1.026	NA	NA	1.265	NA	NA	0.952	NA
SEN15	NA	0.838	NA	NA	NA	NA	NA	NA	NA
PCNP	NA	NA	NA	NA	NA	NA	NA	0.929	NA
FOG2	1.29	NA	NA	NA	NA	NA	NA	NA	NA
APH1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAIP1	NA	NA	NA	NA	NA	NA	NA	NA	0.921
LMO7	1.165	0.961	0.915	0.887	1.073	1.144	0.788	0.832	1.096
CTL1	NA	NA	NA	NA	NA	NA	NA	0.927	NA
CKAP2	1.091	1.063	1	0.926	1.269	1.271	0.904	NA	1.24
ATX2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYGB	NA	0.943	NA	NA	1.203	NA	NA	NA	0.994
SELM	1.244	NA	NA	NA	NA	NA	NA	NA	NA
PRP31	0.967	NA	NA	0.817	NA	NA	NA	0.722	NA
PALLD	1.258	0.92	NA	1.014	1.087	1.347	0.879	NA	NA
RUFY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SREK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
GEMI6	1.218	NA	NA	0.888	NA	NA	0.804	NA	1.009
CSKI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATRIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSPC1	NA	NA	0.792	NA	NA	0.822	NA	NA	0.756
ATLA1	NA	0.935	1.11	NA	NA	1.405	NA	NA	1.353
MADD	NA	NA	NA	NA	NA	1.223	NA	NA	NA
P66B	1.683	NA	1.355	1.328	NA	1.67	NA	NA	1.862
DNJC9	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUTS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BBX	NA	NA	1.018	NA	NA	NA	NA	NA	NA
CTBL1	1.169	0.962	1.076	NA	1.087	1.122	1.016	0.858	1.068
ING5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIN2	NA	NA	NA	NA	NA	1.16	0.494	NA	NA
ELYS	NA	NA	NA	NA	NA	NA	NA	0.881	NA
DGCR8	NA	NA	NA	NA	0.361	NA	NA	NA	NA
TITIN	1.407	0.977	NA	0.888	1.148	NA	0.954	NA	NA
ARAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFFL	NA	0.907	1.091	NA	1.054	NA	NA	0.86	1.485
LZIC	1.096	0.889	NA	0.937	1.045	1.011	0.893	0.85	NA
IRGQ	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDB2	NA	0.973	NA	0.889	1.136	1.159	0.973	0.878	1.09
DDX1	1.298	NA	NA	1.104	NA	NA	0.825	NA	NA
S14L1	NA	NA	1.185	NA	NA	1.171	NA	NA	NA
S39A7	1.12	NA	1.01	0.941	NA	0.999	0.875	NA	1.297
PIEZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM3C	NA	NA	NA	NA	NA	NA	NA	NA	NA
H1X	1.161	0.942	NA	1.01	1.147	NA	NA	NA	NA
TCPW	NA	NA	NA	NA	NA	NA	NA	NA	1.075
SHC3	1.045	NA	0.976	NA	NA	1.097	NA	0.85	1.13
