"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"COPRS" 0.2587 1.07808611111111 2.25364143271393 0.218697405160957 1 -4.2778066886479
"MCCA" -0.256333333333333 1.10607407407407 -2.23302443210541 0.220922143818862 1 -4.28260014728565
"NOXO1" -0.14105 1.24542291666667 -1.88134303185993 0.18436742976969 1 -4.28626980013903
"AKAP2" 0.254466666666667 0.674008333333333 2.21676313585081 0.22270340212165 1 -4.2864350028286
"K0754" 0.253466666666667 1.55100833333333 2.20805172714298 0.223667432642805 1 -4.28850925255265
"CSN7A" 0.253466666666667 1.34200833333333 2.20805172714298 0.223667432642805 1 -4.28850925255265
"CLN6" -0.439 1.06180555555556 -1.87663829809845 0.185095015953911 1 -4.28880639124826
"HSPB1" -0.162666666666667 1.0617996031746 -1.88272981310211 0.184153656957413 1 -4.29108019256607
"ATD3A" 0.251466666666667 1.853675 2.19062890972734 0.225616289686127 1 -4.29269979042088
"ATP68" 0.186683333333333 0.907246904761905 1.77723798252586 0.165471214045425 1 -4.29948219417223
"DDX1" -0.247333333333333 1.10140740740741 -2.154621753735 0.229733799413441 1 -4.30154075822557
"AP5Z1" 0.177 1.05640029761905 1.84446629510099 0.190169159440719 1 -4.30893230830281
"ZBTB3" -0.243 0.8835 -2.1168723160011 0.234185003689748 1 -4.31107699261121
"RL24" -0.147172222222222 0.965809693877551 -1.77242832982802 0.133313249139754 1 -4.31171165862914
"CD276" -0.164816666666667 0.932985714285714 -1.83338281896984 0.191957897302356 1 -4.31236831541463
"SF3B4" 0.242 0.855 2.10816090729327 0.235232347136642 1 -4.31331736871123
"UB2G2" -0.241533333333333 0.527675 -2.10409558322962 0.235723740560964 1 -4.31436803845112
"RIOK2" -0.239838888888888 1.05673625992063 -1.75430255666273 0.127639218957786 1 -4.31450150046598
"SQSTM" -0.239533333333333 1.05500833333333 -2.08667276581398 0.237848903747933 1 -4.31890838948334
"WIPF1" 0.110044444444445 0.954905902777778 1.78916847477427 0.121525097452273 1 -4.32074253244337
"SPAG7" -0.0911000000000004 0.996182093253968 -1.74755525178807 0.128856474744878 1 -4.32150084889317
"TRPA1" -0.2383 1.00448333333333 -2.07592869507433 0.239175119523626 1 -4.32173881340081
"ABHEB" 5.19828333333333 5.25157777777778 1.81144046333427 0.195562169371812 1 -4.32448540811801
"WDR76" 0.257333333333333 1.01333833333333 1.74992578583959 0.170322659385139 1 -4.3246272334345
